chapter	local_frame	score	bad_frame	manual_override
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	59	0.30431382	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	60	0.34165652	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	61	0.23214306	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	62	0.31415946	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	63	0.30424450	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	64	0.30529602	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	65	0.54477837	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	66	0.67696995	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	67	0.38112469	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	68	0.33150504	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	69	0.28122607	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	70	0.34746879	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	71	0.38503764	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	72	0.26464109	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	73	0.11471506	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	74	0.21672276	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	75	0.05037359	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	76	0.03012546	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	77	-0.05219927	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	78	0.08057256	0	0
