start_frame	end_frame	note
31060	31061	tape_clip_value
31064	31065	tape_clip_value
31068	31068	tape_clip_value
31070	31070	tape_clip_value
31073	31077	tape_clip_value
31079	31080	tape_clip_value
31084	31084	tape_clip_value
31088	31089	tape_clip_value
31111	31112	tape_clip_value
31114	31115	tape_clip_value
31141	31141	tape_clip_value
31143	31144	tape_clip_value
31146	31146	tape_clip_value
31151	31151	tape_clip_value
31169	31183	tape_clip_value
31201	31208	tape_clip_value
31210	31215	tape_clip_value
31218	31221	tape_clip_value
31224	31236	tape_clip_value
31238	31240	tape_clip_value
31242	31248	tape_clip_value
31250	31253	tape_clip_value
31255	31257	tape_clip_value
31259	31263	tape_clip_value
31265	31269	tape_clip_value
31271	31272	tape_clip_value
31275	31277	tape_clip_value
31280	31281	tape_clip_value
31284	31290	tape_clip_value
31292	31297	tape_clip_value
31300	31301	tape_clip_value
31303	31307	tape_clip_value
31309	31309	tape_clip_value
31311	31311	tape_clip_value
31313	31315	tape_clip_value
31317	31317	tape_clip_value
31320	31323	tape_clip_value
31325	31325	tape_clip_value
31327	31328	tape_clip_value
31333	31334	tape_clip_value
31339	31347	tape_clip_value
31349	31350	tape_clip_value
31357	31357	tape_clip_value
31360	31362	tape_clip_value
31364	31370	tape_clip_value
31372	31372	tape_clip_value
31377	31377	tape_clip_value
31393	31393	tape_clip_value
31395	31395	tape_clip_value
31398	31398	tape_clip_value
31408	31408	tape_clip_value
31410	31410	tape_clip_value
31414	31414	tape_clip_value
31422	31423	tape_clip_value
31427	31427	tape_clip_value
31433	31433	tape_clip_value
31435	31435	tape_clip_value
31437	31438	tape_clip_value
31440	31440	tape_clip_value
31442	31442	tape_clip_value
31447	31447	tape_clip_value
31454	31454	tape_clip_value
31457	31457	tape_clip_value
31459	31459	tape_clip_value
31467	31467	tape_clip_value
31469	31469	tape_clip_value
31471	31471	tape_clip_value
31482	31484	tape_clip_value
31486	31486	tape_clip_value
31489	31490	tape_clip_value
31500	31501	tape_clip_value
31505	31505	tape_clip_value
31507	31507	tape_clip_value
31510	31510	tape_clip_value
31513	31513	tape_clip_value
31516	31537	tape_clip_value
31539	31543	tape_clip_value
31545	31545	tape_clip_value
31550	31555	tape_clip_value
31557	31565	tape_clip_value
31567	31574	tape_clip_value
31578	31579	tape_clip_value
31587	31587	tape_clip_value
31596	31597	tape_clip_value
