frame	score	bad_frame	manual_override
35892	2.35630842	1	1
35893	0.19697200	0	0
35894	1.11058203	1	1
35895	-0.41247531	1	1
35896	-0.38056516	0	0
35897	0.32808469	0	0
35898	0.69872553	0	0
35899	0.59313362	0	0
35900	0.31263026	0	0
35901	3.90642072	1	0
35902	4.92038560	1	0
35903	-0.02885937	1	1
35904	5.66823796	1	0
35905	2.38937203	1	1
35906	0.20301270	0	0
35907	-0.34798955	0	0
35908	-0.83656351	0	0
35909	-0.97654379	0	0
35910	-0.85699458	0	0
35911	-0.69027022	0	0
35912	-0.26850932	0	0
35913	-0.43220001	0	0
35914	-0.01483730	0	0
35915	-0.04273050	0	0
35916	0.34661912	0	0
35917	0.41390255	0	0
35918	-0.05426928	0	0
35919	-0.13235896	0	0
35920	-0.40936127	0	0
35921	-0.18051873	0	0
35922	-0.50873962	0	0
35923	-1.08940242	0	0
35924	-0.96205941	0	0
35925	-0.47321421	0	0
35926	-0.03832252	0	0
35927	0.01139793	0	0
35928	-0.18650697	0	0
35929	-0.37254679	0	0
35930	-0.45657782	0	0
35931	-0.18567626	0	0
35932	-0.18392554	0	0
35933	0.07612353	0	0
35934	-0.05710750	0	0
35935	-0.09654585	0	0
35936	-0.24903542	0	0
35937	-0.17766914	0	0
35938	-0.22535141	0	0
35939	-0.12195590	0	0
35940	-0.31486390	0	0
35941	-0.18428540	0	0
35942	-0.33922463	0	0
35943	0.12347925	0	0
35944	-0.18840878	0	0
35945	-0.27575463	0	0
35946	-0.33349610	0	0
35947	-0.18149351	0	0
35948	-0.32778585	0	0
35949	-0.27201597	0	0
35950	-0.21584755	0	0
35951	-0.00076569	0	0
35952	-0.08899071	0	0
35953	-0.12633825	0	0
35954	-0.03204011	0	0
35955	0.14746219	0	0
35956	0.17705380	0	0
35957	0.32696055	0	0
35958	0.37747251	0	0
35959	0.61101864	0	0
35960	0.60221349	0	0
35961	0.45402142	0	0
35962	0.18821065	0	0
35963	0.12853420	0	0
35964	0.32527035	0	0
35965	0.32051199	0	0
35966	0.11080145	0	0
35967	0.13463776	0	0
35968	-0.03690846	0	0
35969	0.05217555	0	0
35970	-0.07392934	0	0
35971	-0.01408855	0	0
35972	-0.01965352	0	0
35973	0.02815653	0	0
35974	0.00920073	0	0
35975	0.06890190	0	0
35976	0.02439087	0	0
35977	0.17740371	0	0
35978	0.18599193	0	0
35979	0.23374538	0	0
35980	0.26165396	0	0
35981	0.32853522	0	0
35982	0.32887220	0	0
35983	0.39527988	0	0
35984	0.43443487	0	0
35985	0.55877708	0	0
35986	0.52035558	0	0
35987	0.54657410	0	0
35988	0.46862486	0	0
35989	0.47062810	0	0
35990	0.41600303	0	0
35991	0.61254443	0	0
35992	0.59379832	0	0
35993	0.67129905	0	0
35994	0.59140043	0	0
35995	0.64108975	0	0
35996	0.37143679	0	0
35997	0.38061032	0	0
35998	0.26278224	0	0
35999	0.31310338	0	0
36000	0.24480474	0	0
36001	0.30754235	0	0
36002	0.32740824	0	0
36003	0.29555611	0	0
36004	0.12720439	0	0
36005	0.19637050	0	0
36006	0.13127883	0	0
36007	0.06089257	0	0
36008	0.02161585	0	0
36009	0.10581471	0	0
36010	0.06638931	0	0
36011	0.15251410	0	0
36012	0.09619777	0	0
36013	0.03624999	0	0
36014	-0.01666489	0	0
36015	-0.01150520	0	0
36016	-0.16701190	0	0
36017	-0.23670405	0	0
36018	-0.35999213	0	0
36019	-0.33046694	0	0
36020	-0.33677159	0	0
36021	-0.36795529	0	0
36022	-0.45068165	0	0
36023	-0.42254646	0	0
36024	-0.39803783	0	0
36025	-0.27061364	0	0
36026	-0.46758459	0	0
36027	-0.43281395	0	0
36028	-0.41104700	0	0
36029	-0.17541859	0	0
36030	-0.28386100	0	0
36031	-0.00276565	0	0
36032	-0.14786926	0	0
36033	-0.11724582	0	0
36034	1.68622621	0	0
36035	0.50751563	0	0
36036	2.39743436	1	0
36037	2.95505495	1	0
36038	0.98349796	0	0
36039	0.71384429	0	0
36040	0.95666399	0	0
36041	0.94161787	0	0
36042	0.90078528	0	0
36043	0.56801171	0	0
36044	16.72851459	1	0
36045	7.52812574	1	0
36046	4.05067167	1	0
36047	15.69116627	1	0
36048	9.37117589	1	0
36049	2.82539626	1	0
36050	7.77157452	1	0
36051	8.30677965	1	0
36052	9.06553767	1	0
